Roodlichtcamera's,,,,,,,
Provincie,Gemeente,Nr_1e_Weg,Kmpt_1ste_weg,Straatnaam_1e_weg,Nr_2e_Weg,Straatnaam_2e_weg,Aantal flitspalen
Oost-Vlaanderen,GENT,,,De Klossestraat/Krekelstraat,N60,Nieuwe steenweg,1
Oost-Vlaanderen,EEKLO,N9,68.51,Kon. Astridplein,,Zuidmoerstraat,2
Oost-Vlaanderen,DENDERMONDE,N41,14.76,,N17,Mechelsesteenweg,2
Oost-Vlaanderen,DENDERMONDE,N41,14.11,,,Vlassenhout,2
Oost-Vlaanderen,DENDERMONDE,N41,,,,Denstraat,2
Oost-Vlaanderen,DENDERMONDE,N47,11.07,Heirbaan,,Breestraat,2
Oost-Vlaanderen,GENT,N424,1.81,Afrikalaan,N456,Pauwstraat,2
Oost-Vlaanderen,GENT,R4,,Kennedylaan,,Langerbruggestraat,2
Oost-Vlaanderen,GENT,N9,,Brusselsesteenweg,,Op- en afrit E17 / Land Van Rodelaan,2
Oost-Vlaanderen,GENT,N60,,,N469,Tramstraat / Hutsepotstraat,2
Oost-Vlaanderen,GENT,N43,3.3,Kortrijksesteenweg,,Oversteek Don Bosco,2
Oost-Vlaanderen,GENT,N43,,Kortrijksesteenweg,,Sint Dionysiusstraat,2
Oost-Vlaanderen,GENT,N466,2.9,Deinzesteenweg,,Catriestraat,2
Oost-Vlaanderen,GENT,R40,,Rooigemlaan,N466,Drongensesteenweg,3
Oost-Vlaanderen,WAARSCHOOT,N9,65.7,Gezellelaan,,Kere / Schoolstraat,2
